rank,phase,split,signal_kind,sigma_strategy,gmm_components,single_sigma_index,smoothing_sigma,micro_auc,macro_auc,clip_auc
256,val_sweep,val,log_density,single_sigma,,10,0,0.5,0.9985201449358163,0.5
257,val_sweep,val,log_density,single_sigma,,10,1,0.5,0.9985201449358163,0.5
258,val_sweep,val,log_density,single_sigma,,10,3,0.5,0.9985201449358163,0.5
259,val_sweep,val,log_density,single_sigma,,10,5,0.5,0.9985201449358163,0.5
260,val_sweep,val,log_density,single_sigma,,10,7,0.5,0.9985201449358163,0.5
261,val_sweep,val,log_density,single_sigma,,10,10,0.5,0.9985201449358163,0.5
262,val_sweep,val,log_density,single_sigma,,10,15,0.5,0.9985201449358163,0.5
263,val_sweep,val,log_density,single_sigma,,10,20,0.5,0.9985201449358163,0.5
264,val_sweep,val,log_density,single_sigma,,11,0,0.5,0.9985201449358163,0.5
265,val_sweep,val,log_density,single_sigma,,11,1,0.5,0.9985201449358163,0.5
266,val_sweep,val,log_density,single_sigma,,11,3,0.5,0.9985201449358163,0.5
267,val_sweep,val,log_density,single_sigma,,11,5,0.5,0.9985201449358163,0.5
268,val_sweep,val,log_density,single_sigma,,11,7,0.5,0.9985201449358163,0.5
269,val_sweep,val,log_density,single_sigma,,11,10,0.5,0.9985201449358163,0.5
270,val_sweep,val,log_density,single_sigma,,11,15,0.5,0.9985201449358163,0.5
271,val_sweep,val,log_density,single_sigma,,11,20,0.5,0.9985201449358163,0.5
272,val_sweep,val,log_density,single_sigma,,12,0,0.5,0.9985201449358163,0.5
273,val_sweep,val,log_density,single_sigma,,12,1,0.5,0.9985201449358163,0.5
274,val_sweep,val,log_density,single_sigma,,12,3,0.5,0.9985201449358163,0.5
275,val_sweep,val,log_density,single_sigma,,12,5,0.5,0.9985201449358163,0.5
276,val_sweep,val,log_density,single_sigma,,12,7,0.5,0.9985201449358163,0.5
277,val_sweep,val,log_density,single_sigma,,12,10,0.5,0.9985201449358163,0.5
278,val_sweep,val,log_density,single_sigma,,12,15,0.5,0.9985201449358163,0.5
279,val_sweep,val,log_density,single_sigma,,12,20,0.5,0.9985201449358163,0.5
280,val_sweep,val,log_density,single_sigma,,13,0,0.5,0.9985201449358163,0.5
281,val_sweep,val,log_density,single_sigma,,13,1,0.5,0.9985201449358163,0.5
282,val_sweep,val,log_density,single_sigma,,13,3,0.5,0.9985201449358163,0.5
283,val_sweep,val,log_density,single_sigma,,13,5,0.5,0.9985201449358163,0.5
284,val_sweep,val,log_density,single_sigma,,13,7,0.5,0.9985201449358163,0.5
285,val_sweep,val,log_density,single_sigma,,13,10,0.5,0.9985201449358163,0.5
286,val_sweep,val,log_density,single_sigma,,13,15,0.5,0.9985201449358163,0.5
287,val_sweep,val,log_density,single_sigma,,13,20,0.5,0.9985201449358163,0.5
288,val_sweep,val,log_density,single_sigma,,14,0,0.5,0.9985201449358163,0.5
289,val_sweep,val,log_density,single_sigma,,14,1,0.5,0.9985201449358163,0.5
290,val_sweep,val,log_density,single_sigma,,14,3,0.5,0.9985201449358163,0.5
291,val_sweep,val,log_density,single_sigma,,14,5,0.5,0.9985201449358163,0.5
292,val_sweep,val,log_density,single_sigma,,14,7,0.5,0.9985201449358163,0.5
293,val_sweep,val,log_density,single_sigma,,14,10,0.5,0.9985201449358163,0.5
294,val_sweep,val,log_density,single_sigma,,14,15,0.5,0.9985201449358163,0.5
295,val_sweep,val,log_density,single_sigma,,14,20,0.5,0.9985201449358163,0.5
296,val_sweep,val,log_density,single_sigma,,15,0,0.5,0.9985201449358163,0.5
297,val_sweep,val,log_density,single_sigma,,15,1,0.5,0.9985201449358163,0.5
298,val_sweep,val,log_density,single_sigma,,15,3,0.5,0.9985201449358163,0.5
299,val_sweep,val,log_density,single_sigma,,15,5,0.5,0.9985201449358163,0.5
300,val_sweep,val,log_density,single_sigma,,15,7,0.5,0.9985201449358163,0.5
301,val_sweep,val,log_density,single_sigma,,15,10,0.5,0.9985201449358163,0.5
302,val_sweep,val,log_density,single_sigma,,15,15,0.5,0.9985201449358163,0.5
303,val_sweep,val,log_density,single_sigma,,15,20,0.5,0.9985201449358163,0.5
304,val_sweep,val,log_density,median,,,0,0.5,0.9985201449358163,0.5
305,val_sweep,val,log_density,median,,,1,0.5,0.9985201449358163,0.5
306,val_sweep,val,log_density,median,,,3,0.5,0.9985201449358163,0.5
307,val_sweep,val,log_density,median,,,5,0.5,0.9985201449358163,0.5
308,val_sweep,val,log_density,median,,,7,0.5,0.9985201449358163,0.5
309,val_sweep,val,log_density,median,,,10,0.5,0.9985201449358163,0.5
310,val_sweep,val,log_density,median,,,15,0.5,0.9985201449358163,0.5
311,val_sweep,val,log_density,median,,,20,0.5,0.9985201449358163,0.5
312,val_sweep,val,log_density,mean,,,0,0.5,0.9985201449358163,0.5
313,val_sweep,val,log_density,mean,,,1,0.5,0.9985201449358163,0.5
314,val_sweep,val,log_density,mean,,,3,0.5,0.9985201449358163,0.5
315,val_sweep,val,log_density,mean,,,5,0.5,0.9985201449358163,0.5
316,val_sweep,val,log_density,mean,,,7,0.5,0.9985201449358163,0.5
317,val_sweep,val,log_density,mean,,,10,0.5,0.9985201449358163,0.5
318,val_sweep,val,log_density,mean,,,15,0.5,0.9985201449358163,0.5
319,val_sweep,val,log_density,mean,,,20,0.5,0.9985201449358163,0.5
320,val_sweep,val,log_density,max,,,0,0.5,0.9985201449358163,0.5
321,val_sweep,val,log_density,max,,,1,0.5,0.9985201449358163,0.5
322,val_sweep,val,log_density,max,,,3,0.5,0.9985201449358163,0.5
323,val_sweep,val,log_density,max,,,5,0.5,0.9985201449358163,0.5
324,val_sweep,val,log_density,max,,,7,0.5,0.9985201449358163,0.5
